Wavelength[nm],Throughput
320.0,1.3064060821583233e-06
321.0,1.5411647848767224e-06
322.0,2.043861512653295e-06
323.0,3.1110654520427915e-06
324.0,4.213180572804155e-06
325.0,4.937001476600012e-06
326.0,5.334517248590325e-06
327.0,6.030918883309032e-06
328.0,6.973537609972514e-06
329.0,7.854628544258087e-06
330.0,8.940291022183392e-06
331.0,9.376418374992355e-06
332.0,9.787272234892374e-06
333.0,1.0211407306468835e-05
334.0,1.0611495111956468e-05
335.0,1.1129819885468922e-05
336.0,1.1582808309076177e-05
337.0,1.2036272612785535e-05
338.0,1.2493096004954702e-05
339.0,1.300199293571253e-05
340.0,1.3577308551874923e-05
341.0,1.3817887665565732e-05
342.0,1.404561011579204e-05
343.0,1.4226094951609832e-05
344.0,1.435273837747875e-05
345.0,1.4527064296199151e-05
346.0,1.4599452589258485e-05
347.0,1.4692039906657488e-05
348.0,1.4869347505745646e-05
349.0,1.5079779897541386e-05
350.0,1.535716613958027e-05
351.0,1.5574004423153928e-05
352.0,1.5723735614877106e-05
353.0,1.581351359017009e-05
354.0,1.587546849251505e-05
355.0,1.5915945500744592e-05
356.0,1.5934231643555696e-05
357.0,1.6018342543322894e-05
358.0,1.6116944808969376e-05
359.0,1.6245369370292973e-05
360.0,1.6448098973940106e-05
361.0,1.6402482174502894e-05
362.0,1.633534585690011e-05
363.0,1.6253733789223945e-05
364.0,1.6131613201238984e-05
365.0,1.5962795290400755e-05
366.0,1.5818345349795297e-05
367.0,1.565261893303396e-05
368.0,1.5550277382789066e-05
369.0,1.5481936438230175e-05
370.0,1.5363968634630833e-05
371.0,1.5452663137152602e-05
372.0,1.553579494660731e-05
373.0,1.5588448710823286e-05
374.0,1.5628763910918846e-05
375.0,1.5689519637464655e-05
376.0,1.577314577399887e-05
377.0,1.5887767547734462e-05
378.0,1.6053490434757235e-05
379.0,1.621209354378608e-05
380.0,1.629620647783549e-05
381.0,1.664531677937116e-05
382.0,1.6720636335694796e-05
383.0,1.6019685313834178e-05
384.0,1.5458845113671918e-05
385.0,1.4764085548342261e-05
386.0,1.4006618450318102e-05
387.0,1.3404302940914085e-05
388.0,1.3177073751149e-05
389.0,1.3072961465298319e-05
390.0,1.2510259585470493e-05
391.0,1.105658709949602e-05
392.0,9.12256895018024e-06
393.0,7.2975468403504375e-06
394.0,5.941364073438035e-06
395.0,5.045679583823637e-06
396.0,4.488129440613109e-06
397.0,4.072686945919676e-06
398.0,3.576277007913236e-06
399.0,2.925235483914582e-06
400.0,2.2433422662966517e-06
401.0,1.6811871934814829e-06
